datetime,date,lowest_price_per_mwh,highest_price_per_mwh,eic_count,installed_capacity,euros_per_mwh,hours_ahead,temperature,dewpoint,cloudcover_high,cloudcover_low,cloudcover_mid,cloudcover_total,10_metre_u_wind_component,10_metre_v_wind_component,direct_solar_radiation,surface_solar_radiation_downwards,snowfall,total_precipitation,dayofyear,hour,day,weekday,month,year,segment,sin(dayofyear),cos(dayofyear),sin(hour),cos(hour),target
2021-09-01 00:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,0,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,0.0,1.0,0.0
2021-09-01 01:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,1,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,0.25881904,0.9659258,0.0
2021-09-01 02:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,2,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,0.5,0.8660254,0.0
2021-09-01 03:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,3,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,0.70710677,0.70710677,0.0
2021-09-01 04:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,4,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,0.8660254,0.5,0.0
2021-09-01 05:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,5,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,0.9659258,0.25881904,0.0
2021-09-01 06:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,6,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,1.0,6.123234e-17,0.093
2021-09-01 07:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,7,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,0.9659258,-0.25881904,0.461
2021-09-01 08:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,8,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,0.8660254,-0.5,1.985
2021-09-01 09:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,9,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,0.70710677,-0.70710677,8.574
2021-09-01 10:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,10,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,0.5,-0.8660254,24.502
2021-09-01 11:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,11,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,0.25881904,-0.9659258,30.089
2021-09-01 12:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,12,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,1.2246469e-16,-1.0,41.148
2021-09-01 13:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,13,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,-0.25881904,-0.9659258,45.143
2021-09-01 14:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,14,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,-0.5,-0.8660254,43.058
2021-09-01 15:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,15,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,-0.70710677,-0.70710677,36.968
2021-09-01 16:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,16,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,-0.8660254,-0.5,30.911
2021-09-01 17:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,17,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,-0.9659258,-0.25881904,22.789
2021-09-01 18:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,18,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,-1.0,-1.8369701e-16,10.398
2021-09-01 19:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,19,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,-0.9659258,0.25881904,1.001
2021-09-01 20:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,20,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,-0.8660254,0.5,0.006
2021-09-01 21:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,21,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,-0.70710677,0.70710677,0.0
2021-09-01 22:00:00,2021-09-01,,,,,,,,,,,,,,,,,,,244,22,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,-0.5,0.8660254,0.0
2021-09-01 23:00:00,2021-09-01,,,,,,24.0,10.312586,4.848596,0.0,0.0052337646,0.0018997192,0.006286621,1.1042856,-4.392597,0.0,0.0,0.0,1.1920929e-07,244,23,1,3,9,2021,6_1_3_0,-0.8660254,-0.5,-0.25881904,0.9659258,0.0
2021-09-02 00:00:00,2021-09-02,45.23,46.32,,,92.51,25.0,9.928186,4.707666,0.0,0.00022888184,5.340576e-05,0.00024414062,1.0777261,-4.1348896,0.0,0.0,0.0,0.0,245,0,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,0.0,1.0,0.0
2021-09-02 01:00:00,2021-09-02,45.23,46.32,,,88.9,26.0,9.725428,4.709924,0.0,7.6293945e-06,0.0001449585,0.0001449585,1.3676587,-3.9959774,0.0,-0.046666667,0.0,0.0,245,1,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,0.25881904,0.9659258,0.0
2021-09-02 02:00:00,2021-09-02,45.23,46.32,,,87.35,27.0,9.719019,4.7326293,0.0,2.2888184e-05,9.1552734e-05,9.1552734e-05,1.4127617,-3.9187708,0.0,0.0,0.0,0.0,245,2,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,0.5,0.8660254,0.0
2021-09-02 03:00:00,2021-09-02,45.23,46.32,,,86.88,28.0,9.838587,4.9692626,0.0,0.00064086914,0.0004119873,0.0009384155,1.4399269,-3.8298073,54.2125,6.666389,0.0,0.0,245,3,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,0.70710677,0.70710677,0.0
2021-09-02 04:00:00,2021-09-02,45.23,46.32,,,88.43,29.0,10.84469,5.664026,0.0,6.866455e-05,0.0014572144,0.0014953613,1.5446904,-4.002795,348.61694,83.843056,0.0,1.1920929e-07,245,4,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,0.8660254,0.5,0.0
2021-09-02 05:00:00,2021-09-02,45.23,46.32,,,93.58,30.0,11.900293,5.8297057,0.0,0.00010681152,0.001335144,0.0013885498,1.9029847,-4.4659605,574.18054,208.26889,0.0,0.0,245,5,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,0.9659258,0.25881904,0.0
2021-09-02 06:00:00,2021-09-02,45.23,46.32,,,118.7,31.0,12.516748,5.3062377,0.0,0.0,3.8146973e-05,3.8146973e-05,2.2768283,-4.9243355,706.0517,339.4914,0.0,0.0,245,6,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,1.0,6.123234e-17,0.01
2021-09-02 07:00:00,2021-09-02,45.23,46.32,,,135.44,32.0,13.00976,4.9479003,0.0,0.014778137,0.0,0.014801025,2.5868979,-4.845481,778.2342,455.15445,0.0,-3.0994415e-06,245,7,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,0.9659258,-0.25881904,0.357
2021-09-02 08:00:00,2021-09-02,45.23,46.32,,,140.72,33.0,13.407404,5.1795287,0.10803223,0.14303589,0.001625061,0.20739746,3.341362,-4.8147697,821.7522,546.55225,0.0,-8.380266e-08,245,8,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,0.8660254,-0.5,3.154
2021-09-02 09:00:00,2021-09-02,45.23,46.32,,,130.0,34.0,13.800806,4.7020507,0.9152298,0.70240784,0.007522583,0.97458655,4.325631,-4.7888756,739.3469,566.72363,0.0,3.540754e-08,245,9,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,0.70710677,-0.70710677,11.545
2021-09-02 10:00:00,2021-09-02,45.23,46.32,,,116.99,35.0,13.547052,5.1566405,0.34909058,0.56122845,0.322937,0.7870693,5.3160896,-4.2735415,399.02444,433.20444,0.0,2.428456e-05,245,10,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,0.5,-0.8660254,23.219
2021-09-02 11:00:00,2021-09-02,45.23,46.32,,,109.75,36.0,13.2297,5.167505,0.737854,0.744642,0.575119,0.94825506,6.108758,-4.2233896,248.00722,351.4711,0.0,9.059906e-06,245,11,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,0.25881904,-0.9659258,34.346
2021-09-02 12:00:00,2021-09-02,45.23,46.32,,,103.88,37.0,13.000238,5.263757,0.65740204,0.78969425,0.9115906,0.98156154,6.585697,-4.035678,166.01527,284.16446,0.0,2.2276156e-05,245,12,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,1.2246469e-16,-1.0,39.695
2021-09-02 13:00:00,2021-09-02,45.23,46.32,,,98.0,38.0,12.939539,6.0440307,0.17718506,0.98394775,0.96435547,0.99639195,5.9275885,-3.468894,59.27111,172.35556,0.0,7.1525574e-07,245,13,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,-0.25881904,-0.9659258,23.561
2021-09-02 14:00:00,2021-09-02,45.23,46.32,,,94.98,39.0,12.904627,6.897119,0.02128601,0.99555475,0.99378026,0.99985284,5.8144455,-3.0065346,1.2933333,62.24889,0.0,5.675629e-07,245,14,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,-0.5,-0.8660254,28.47
2021-09-02 15:00:00,2021-09-02,45.23,46.32,,,95.06,40.0,12.474268,8.285303,4.5776367e-05,0.9964447,0.9575775,0.9991183,5.8537693,-1.784625,2.2444444,28.551111,0.0,8.3284176e-05,245,15,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,-0.70710677,-0.70710677,20.24
2021-09-02 16:00:00,2021-09-02,45.23,46.32,,,97.61,41.0,12.889246,8.824488,0.0,0.11930847,0.34073335,0.3803268,5.352147,-0.8391752,0.81333333,10.288889,0.0,7.5432763e-06,245,16,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,-0.8660254,-0.5,5.473
2021-09-02 17:00:00,2021-09-02,45.23,46.32,,,116.12,42.0,13.218836,9.047022,0.0,0.08062744,0.85289276,0.8560558,5.1721735,-1.8740292,9.866667,1.5822222,0.0,0.0,245,17,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,-0.9659258,-0.25881904,2.819
2021-09-02 18:00:00,2021-09-02,45.23,46.32,,,131.0,43.0,13.890406,9.487574,0.0,0.09812927,0.64119315,0.65699446,5.4026737,-1.8015938,0.0,0.0,0.0,1.7285347e-05,245,18,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,-1.0,-1.8369701e-16,0.546
2021-09-02 19:00:00,2021-09-02,45.23,46.32,,,145.91,44.0,13.985071,10.193384,0.0,0.15759277,0.6751313,0.6921631,6.3616867,-0.4428711,0.0,0.0,0.0,1.66893e-05,245,19,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,-0.9659258,0.25881904,0.215
2021-09-02 20:00:00,2021-09-02,45.23,46.32,,,144.93,45.0,13.687769,10.660303,0.0,0.22998047,0.5106259,0.56381404,5.531597,0.08859253,0.0,0.0,0.0,3.25141e-05,245,20,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,-0.8660254,0.5,0.001
2021-09-02 21:00:00,2021-09-02,45.23,46.32,,,125.76,46.0,14.319605,10.660608,0.0,0.029510498,0.4824318,0.4917537,6.1374807,-1.4288855,0.0,0.0,0.0,0.00016942644,245,21,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,-0.70710677,0.70710677,0.0
2021-09-02 22:00:00,2021-09-02,45.23,46.32,,,114.39,47.0,14.553125,10.2026615,0.0,0.053771973,0.4046252,0.4179762,6.3364353,-2.1572008,0.0,0.0,0.0,2.0503998e-05,245,22,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,-0.5,0.8660254,0.0
2021-09-02 23:00:00,2021-09-02,45.23,46.32,,,94.32,36.0,13.896082,9.501551,0.00038909912,0.21962738,0.4265123,0.45718008,6.4660406,-3.6230888,0.0,0.0,0.0,0.0001417827,245,23,2,4,9,2021,6_1_3_0,-0.87448096,-0.48505986,-0.25881904,0.9659258,0.0
2021-09-03 00:00:00,2021-09-03,45.62,46.29,6.0,324.2,96.99,25.0,13.162378,8.944788,0.0,0.42100525,0.6208345,0.69237125,6.254571,-4.884715,0.0,0.0,0.0,8.979725e-05,246,0,3,5,9,2021,6_1_3_0,-0.8826788,-0.46997675,0.0,1.0,0.0
2021-09-03 01:00:00,2021-09-03,45.62,46.29,6.0,324.2,94.77,26.0,13.052454,8.768396,0.0,0.4907291,0.79743177,0.8390087,5.8111887,-4.6219997,0.0,0.0011111111,0.0,9.5760246e-05,246,1,3,5,9,2021,6_1_3_0,-0.8826788,-0.46997675,0.25881904,0.9659258,0.0
